Designator,Mid X,Mid Y,Rotation,Side
C1,144.0434,-87.861,90,top
C2,143.383,-106.9341,270,top
C3,161.7448,-91.4146,180,top
C4,137.31,-103.632,180,top
C5,136.7535,-106.299,180,top
C6,137.31,-104.902,180,top
C7,175.4148,-97.9678,180,top
C8,172.2628,-102.2858,0,top
C9,177.9016,-101.3738,90,top
C10,160.909,-104.3686,270,top
C11,159.7914,-104.371,270,top
C12,156.9974,-101.7905,0,top
C13,162.941,-104.3456,90,top
C14,178.7676,-105.0544,180,top
C15,140.6882,-94.4626,0,top
C16,153.8962,-106.4768,180,top
C17,146.8858,-106.5784,0,top
C18,173.0272,-95.6564,180,top
C19,172.9994,-93.3704,180,top
C20,167.6884,-103.8352,180,top
D1,156.5657,-98.6282,180,top
F1,186.944,-106.683,270,top
J1,187.833,-98.044,90,top
J2,127.889,-98.044,0,top
L1,167.6932,-104.902,180,top
L2,175.4148,-99.1108,180,top
L3,140.6882,-93.1926,180,top
L4,173.0018,-94.5134,180,top
Q1,140.4526,-88.6612,180,top
Q2,150.4061,-105.6259,0,top
Q3,146.796,-88.707,180,top
R1,142.875,-87.9118,270,top
R2,143.256,-104.371,270,top
R3,143.3806,-89.5604,180,top
R4,137.16,-87.376,0,top
R5,137.183,-89.916,0,top
R6,179.197,-99.441,0,top
R7,179.197,-95.631,0,top
R8,179.197,-98.171,0,top
R9,179.197,-96.901,0,top
R10,137.31,-107.696,0,top
R11,178.7628,-103.9114,0,top
R12,156.9847,-100.2919,180,top
R13,172.997,-97.9932,0,top
R14,172.4914,-100.6626,270,top
R15,174.1932,-109.1184,180,top
R16,172.0318,-109.1184,0,top
R17,153.9089,-105.2449,0,top
R18,153.8859,-107.6198,180,top
R19,153.8986,-104.0892,180,top
R20,154.0232,-98.6282,0,top
R21,146.8858,-104.6861,0,top
R22,167.6932,-106.3498,180,top
R23,167.6884,-107.7722,0,top
R24,150.368,-88.623,270,top
R25,149.225,-88.623,90,top
U1,140.5128,-105.4227,180,top
U2,173.7472,-105.7656,0,top
U3,164.4182,-97.3297,180,top
U4,137.7442,-93.8276,0,top
Y1,175.3026,-101.3082,0,top
