"ID";"指示器";"包";"数量";"名称";"供应商和参考";
1;"J2";"Connector_02X08_SMD_C";1;"Conn_02x08_Top_Bottom";;;
2;"C2,C5";"C_0603_1608Metric";2;"C_0603_4.7uF_10V_X7R";;;
3;"R15,R20";"R_0402_1005Metric";2;"R_0402_2.2K_5%";;;
4;"R22,R3,R4,R5,R12,R17,R18,R21,R23";"R_0402_1005Metric";9;"R_0402_10K_5%";;;
5;"C10,C15,C1,C3,C6,C7,C11,C12,C14,C16,C17,C18,C19,C20";"C_0402_1005Metric";14;"C_0402_100nF_16V_X7R";;;
6;"U4";"SOT-353_SC-70-5";1;"74LVC1G66";;;
7;"L3,L1,L2,L4";"L_0402_1005Metric";4;"100ohm_bead";;;
8;"C4";"C_0402_1005Metric";1;"NC";;;
9;"C8,C9";"C_0402_1005Metric";2;"C_0402_20pF_50V_C0G";;;
10;"C13";"C_0402_1005Metric";1;"C_0402_1uF_10V_X7R";;;
11;"D1";"LED_0603_1608Metric";1;"LED";;;
12;"F1";"Fuse_1206_3216Metric";1;"Fuse_1206_500mA";;;
13;"J1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
14;"Q1";"SOT-23";1;"AO3401A";;;
15;"Q2";"TSOT-23-6";1;"FDC6330L";;;
16;"R1,R2";"R_0402_1005Metric";2;"R_0402_100K_5%";;;
17;"R6,R7";"R_0402_1005Metric";2;"R_0402_5.1K_5%";;;
18;"R8,R9";"R_0402_1005Metric";2;"R_0402_22_5%";;;
19;"R10,R11";"R_0402_1005Metric";2;"R_0402_0_5%";;;
20;"R13";"R_0402_1005Metric";1;"R_0402_12K_1%";;;
21;"R14";"R_0402_1005Metric";1;"R_0402_1M_5%";;;
22;"R16";"R_0402_1005Metric";1;"R_040210K_5%";;;
23;"R19,R24,R25";"R_0402_1005Metric";3;"R_0402_47K_5%";;;
24;"U1";"SOT-23-5";1;"TPS73633DBV";;;
25;"U2";"SOIC-8_3.9x4.9mm_P1.27mm";1;"93LCxxB";;;
26;"U3";"LQFP-48_7x7mm_P0.5mm";1;"FT232H";;;
27;"Y1";"Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm";1;"Crystal_GND24_Small";;;
28;"Q3";"SOT-23";1;"MMBT3904";;;
